text,intent
Navigate to Machu Picchu visitor entrance.,navigate
Take me to the nearest petrol station.,navigate
"Directions to Shibuya Crossing, please.",navigate
Guide me to Aunt Maria’s house.,navigate
Route me to the botanical conservatory.,navigate
Lead me to Pizza Palace downtown.,navigate
Find directions to Mount Everest Base Camp.,navigate
Navigate to the closest emergency room.,navigate
Show the quickest route to the airport.,navigate
Take me to the kids’ art school.,navigate
Map a drive to Lake Tahoe North Shore.,navigate
Drive to the orthopedic clinic downtown.,navigate
Plot walking path to Old Town Square.,navigate
Get me to the weekend street market.,navigate
Navigate to hostel laundry room.,navigate
Let’s swing by the record store.,navigate
I’d like to visit the maritime museum.,navigate
How about we drop in at Leo’s garage?,navigate
Need to reach the visa office.,navigate
Let’s head over to the improv theater.,navigate
Lower the temperature by two degrees.,adjust_temperature
Turn heating up to 23.,adjust_temperature
Make it a tad cooler inside.,adjust_temperature
Set AC to sleep mode at 19.,adjust_temperature
Boost the warmth by a notch.,adjust_temperature
Bring temperature down slightly.,adjust_temperature
Switch heater to eco-low.,adjust_temperature
Dial the thermostat back to 17.,adjust_temperature
Set climate control to 21 automatic.,adjust_temperature
Turn on quick cool breeze.,adjust_temperature
Pause the heater for now.,adjust_temperature
Warm the cabin softly.,adjust_temperature
Drop climate to eco 15.,adjust_temperature
Blast AC on high.,adjust_temperature
Raise temp to cozy 25.,adjust_temperature
The lounge feels like a freezer.,adjust_temperature
It’s sweltering in here.,adjust_temperature
The air seems stale in here.,adjust_temperature
My toes are ice-cold.,adjust_temperature
Feels a bit stuffy now.,adjust_temperature
Call Uncle Carlos.,call_person
Ring up Detective Lee.,call_person
Dial my colleague Emma.,call_person
Place a call to Coach Martinez.,call_person
Call my sister Lucia.,call_person
Ring Grandpa’s home phone.,call_person
Dial hotel reception desk.,call_person
Put Omar on speakerphone.,call_person
Ring Elena at accounting.,call_person
Call Mom’s cell phone.,call_person
"Dial the fire brigade, please.",call_person
Call hairstylist Nina for an appointment.,call_person
Ring up Attorney Nguyen.,call_person
Call the pediatric clinic reception.,call_person
"Phone the shipping supervisor, Leo.",call_person
I need to speak with Hannah.,call_person
Please patch me through to Dad.,call_person
"Connect me with our electrician, thanks.",call_person
Need to talk with the babysitter.,call_person
"Transfer me to tech support, please.",call_person
I'm feeling inspired—play upbeat Afro-pop.,play_music
Play mellow Spanish guitar instrumentals.,play_music
Give me tranquil Japanese koto pieces.,play_music
I want energetic Scottish bagpipe tunes.,play_music
Spin soulful neo-soul tracks by Solange.,play_music
Put on chilled lo-fi beats with rain sounds.,play_music
Queue lively Mexican mariachi songs.,play_music
Play soothing ambient deep-sea recordings.,play_music
Let’s hear powerful rock ballads from the 90s.,play_music
Play vibrant Bollywood party hits.,play_music
I need soft acoustic coffee-shop vibes.,play_music
Play uplifting South African gospel.,play_music
Give me vintage Motown grooves.,play_music
Play intense progressive trance mixes.,play_music
Put on calming Nordic folk lullabies.,play_music
A bit of background sound would be nice.,play_music
I could use some audio for this workout.,play_music
Maybe a tune or two for reading.,play_music
Need something musical on this drive.,play_music
Some melodies would brighten the space.,play_music
Show me the temperature in Dubrovnik.,get_weather
Weather forecast for Lima tomorrow.,get_weather
Is it raining in Phuket this evening?,get_weather
Give me today’s outlook for Frankfurt.,get_weather
How cold is it in Tallinn now?,get_weather
Is sunshine expected in Perth today?,get_weather
Current storm advisory for Miami?,get_weather
Tell me if it’s cloudy in Zagreb.,get_weather
Forecast for Montreal next Thursday.,get_weather
Will showers hit Colombo tonight?,get_weather
Snow chance in Minsk this weekend.,get_weather
Humidity percentage in Manila right now.,get_weather
How hot will Athens get at noon?,get_weather
Show air-pressure in Bern.,get_weather
Is it breezy in Auckland this evening?,get_weather
Should I pack an umbrella for Glasgow?,get_weather
Do I need a coat in Riga?,get_weather
Is hoodie weather in Minneapolis?,get_weather
Will I sweat in Panama City today?,get_weather
Can I skip the scarf in Seville?,get_weather
Navigate to the Great Wall Mutianyu entrance.,navigate
Take me to the nearest charging station.,navigate
"Directions to King’s Cross St. Pancras, please.",navigate
Guide me to Cousin Pedro’s apartment.,navigate
Route me to the national history museum.,navigate
Lead me to Burger Barn downtown.,navigate
Find directions to Mount Fuji 5th Station.,navigate
Navigate to the closest urgent care clinic.,navigate
Show the fastest route to the ferry terminal.,navigate
Take me to the kids’ swimming pool.,navigate
Map a drive to Lake Bled viewpoint.,navigate
Drive to the dermatologist’s office.,navigate
Plot walking route to Liberty Square.,navigate
Get me to the weekend craft market.,navigate
Navigate to hostel rooftop terrace.,navigate
Let’s swing by the comic book store.,navigate
I’d like to visit the aviation museum.,navigate
How about we drop in at Maya’s gallery?,navigate
Need to reach the consulate building.,navigate
Let’s head over to the blues bar.,navigate
Lower the temperature by three degrees.,adjust_temperature
Turn heating to 22.,adjust_temperature
"Make the room a bit cooler, please.",adjust_temperature
Set AC to eco mode at 18.,adjust_temperature
Increase warmth a smidge.,adjust_temperature
Bring temperature down a tad.,adjust_temperature
Switch heater to low-medium.,adjust_temperature
Reduce thermostat to 15.,adjust_temperature
Set climate control to 20 automatic.,adjust_temperature
Turn on quick-cool fan.,adjust_temperature
Pause the heater for a moment.,adjust_temperature
Warm the cabin a touch.,adjust_temperature
Drop climate to eco 14.,adjust_temperature
Blast AC on super cool.,adjust_temperature
Raise temp to a comfy 25.,adjust_temperature
The office feels like a freezer.,adjust_temperature
It’s blazing in here.,adjust_temperature
The air feels thick.,adjust_temperature
My nose is icy.,adjust_temperature
Feels uncomfortably hot now.,adjust_temperature
Call Aunt Rosa.,call_person
Ring up Captain Anderson.,call_person
Dial my coworker Elena.,call_person
Place a call to Coach Nguyen.,call_person
Call my brother Liam.,call_person
Ring Grandpa on video chat.,call_person
Dial hotel bell desk.,call_person
Call Diego on speakerphone.,call_person
Ring Helena in procurement.,call_person
Call Mom’s cell.,call_person
Dial emergency roadside assistance.,call_person
Call beauty salon for booking.,call_person
Ring up Attorney Carter.,call_person
Dial pediatric nurse station.,call_person
Call warehouse supervisor Ivan.,call_person
I need to talk with Priya.,call_person
"Connect me with Father, please.",call_person
Could you ring the plumber?,call_person
Need to speak with the dog walker.,call_person
Put me through to IT support.,call_person
I'm feeling wistful—play gentle indie folk.,play_music
Play vibrant K-pop dance hits.,play_music
Give me calming Persian santur pieces.,play_music
I want energetic Brazilian funk tonight.,play_music
Spin soulful acoustic covers by Sam Smith.,play_music
Put on chilled lo-fi beats with vinyl crackle.,play_music
Queue lively Colombian cumbia songs.,play_music
Play soothing ambient forest soundscapes.,play_music
Let’s hear powerful 2000s pop-punk anthems.,play_music
Play upbeat Bollywood wedding tracks.,play_music
I need quiet instrumental piano jazz.,play_music
Play uplifting Zulu gospel harmonies.,play_music
Give me vintage 70s soul grooves.,play_music
Play intense psytrance festival mixes.,play_music
Put on relaxing Himalayan singing bowls.,play_music
A bit of music would set the mood.,play_music
I could use background rhythms.,play_music
Maybe a track for this study session.,play_music
Need something melodic for cooking.,play_music
Some tunes would liven things up.,play_music
Show me the temperature in Kigali.,get_weather
Weather forecast for Antwerp tomorrow.,get_weather
Is it raining in Cebu this evening?,get_weather
Give me today’s outlook for Stuttgart.,get_weather
How cold is it in Vilnius now?,get_weather
Is sunshine expected in Brisbane today?,get_weather
Current storm alert for Houston?,get_weather
Tell me if it’s foggy in Salzburg.,get_weather
Forecast for Quito next Saturday.,get_weather
Will showers hit Phnom Penh tonight?,get_weather
Snow chance in Tbilisi this weekend.,get_weather
Humidity level in Dakar right now.,get_weather
How hot will Cairo get at sunset?,get_weather
Show air-pressure in Lausanne.,get_weather
Is it breezy in Christchurch this evening?,get_weather
Should I pack an umbrella for Belfast?,get_weather
Do I need a coat in Tallinn?,get_weather
Is hoodie weather in Detroit?,get_weather
Will I feel sweaty in Kuala Lumpur today?,get_weather
Can I skip the scarf in Porto?,get_weather
Navigate to the Acropolis main gate.,navigate
Take me to the nearest bakery.,navigate
"Directions to Zürich Hauptbahnhof, please.",navigate
Guide me to Cousin Lina’s apartment.,navigate
Route me to the modern art gallery.,navigate
Lead me to Tacos El Rey downtown.,navigate
Find directions to Mount Rainier trailhead.,navigate
Navigate to the closest pediatric clinic.,navigate
Show the quickest route to the ferry dock.,navigate
Take me to the kids’ ballet studio.,navigate
Map a drive to Lake Placid lodge.,navigate
Drive to the endocrinologist’s office.,navigate
Plot walking route to Freedom Square.,navigate
Get me to the weekend food festival.,navigate
Navigate to hostel game room.,navigate
Let’s swing by the pottery shop.,navigate
I’d like to visit the transport museum.,navigate
How about we drop in at Nora’s workshop?,navigate
Need to reach the visa application center.,navigate
Let’s head over to the jazz café.,navigate
Lower the temperature by a couple of degrees.,adjust_temperature
Turn heating to 21.,adjust_temperature
Make it a bit cooler in here.,adjust_temperature
Set AC to eco-sleep at 18.,adjust_temperature
"Add a little more heat, please.",adjust_temperature
Lower the thermostat a bit.,adjust_temperature
Switch heater to low-eco.,adjust_temperature
Set the thermostat down to 15.,adjust_temperature
Set climate control to automatic 19.,adjust_temperature
Turn on quick-cool breeze.,adjust_temperature
Pause the heater briefly.,adjust_temperature
Warm the cabin slightly.,adjust_temperature
Drop climate to eco 13.,adjust_temperature
Set the AC to max cooling now.,adjust_temperature
Heat it up to a snug 26.,adjust_temperature
The cabin feels like an icebox.,adjust_temperature
It’s blistering in here.,adjust_temperature
The air feels oppressive.,adjust_temperature
My fingers feel frozen.,adjust_temperature
Feels a bit muggy now.,adjust_temperature
Call Aunt Yvonne.,call_person
Ring up Dr. Morales.,call_person
Dial coworker Hassan.,call_person
Place a call to Coach Peterson.,call_person
Call my sister Chloe.,call_person
Ring Grandpa on video call.,call_person
Dial hotel housekeeping.,call_person
Call Luca on speaker.,call_person
Ring Elena in logistics.,call_person
Contact Mom on her mobile.,call_person
Dial roadside assistance hotline.,call_person
Call spa to book a massage.,call_person
Ring up Attorney Ruiz.,call_person
Dial pediatric clinic nurse station.,call_person
Call warehouse foreman Ivan.,call_person
I need to speak with Naomi.,call_person
Get me connected to Dad.,call_person
Ring the electrician right away.,call_person
Need to talk to the dog sitter.,call_person
Put me through to customer care.,call_person
